Snake DQN Training Log - 20251014_214114
==================================================
Grid Size: 15x20
Total Episodes: 3000
Final Average Score: 1.18
Best Score: 14
Final Epsilon: 0.0200

Episode Details:
Episode	Score	AvgScore	Epsilon	Reward
636	3	1.20	0.0200	21.83
637	4	1.19	0.0200	13.13
638	1	1.20	0.0200	1.93
639	0	1.19	0.0200	0.60
640	1	1.19	0.0200	12.91
641	0	1.19	0.0200	-0.62
642	3	1.21	0.0200	22.15
643	0	1.21	0.0200	6.62
644	3	1.24	0.0200	14.59
645	2	1.22	0.0200	8.99
646	2	1.22	0.0200	18.15
647	2	1.23	0.0200	7.88
648	1	1.23	0.0200	3.07
649	1	1.22	0.0200	6.02
650	1	1.22	0.0200	5.38
651	2	1.21	0.0200	8.13
652	2	1.23	0.0200	11.00
653	0	1.23	0.0200	-1.66
654	1	1.24	0.0200	8.91
655	1	1.21	0.0200	3.94
656	0	1.14	0.0200	8.28
657	0	1.13	0.0200	-0.07
658	4	1.17	0.0200	16.76
659	0	1.17	0.0200	1.44
660	0	1.16	0.0200	-2.54
661	0	1.15	0.0200	2.51
662	0	1.14	0.0200	-1.87
663	0	1.13	0.0200	2.56
664	0	1.13	0.0200	19.19
665	2	1.15	0.0200	10.27
666	2	1.14	0.0200	10.31
667	1	1.14	0.0200	7.69
668	0	1.13	0.0200	2.85
669	0	1.10	0.0200	23.29
670	1	1.09	0.0200	6.47
671	1	1.10	0.0200	3.20
672	0	1.10	0.0200	1.03
673	1	1.11	0.0200	8.22
674	1	1.12	0.0200	3.54
675	0	1.12	0.0200	2.62
676	0	1.12	0.0200	8.75
677	4	1.15	0.0200	25.54
678	1	1.15	0.0200	3.82
679	0	1.15	0.0200	-1.17
680	0	1.10	0.0200	2.43
681	1	1.11	0.0200	13.65
682	2	1.12	0.0200	14.78
683	0	1.11	0.0200	-0.60
684	0	1.10	0.0200	0.35
685	0	1.10	0.0200	4.59
686	0	1.10	0.0200	1.73
687	2	1.10	0.0200	9.14
688	0	1.09	0.0200	9.99
689	0	1.09	0.0200	8.59
690	1	1.09	0.0200	7.09
691	0	1.08	0.0200	-1.82
692	1	1.09	0.0200	14.16
693	1	1.08	0.0200	5.73
694	1	1.08	0.0200	3.35
695	0	1.08	0.0200	-1.17
696	0	1.08	0.0200	25.10
697	2	1.07	0.0200	4.96
698	0	1.02	0.0200	3.32
699	0	1.02	0.0200	0.70
700	1	0.99	0.0200	17.43
701	2	1.00	0.0200	8.08
702	1	1.01	0.0200	6.30
703	1	1.00	0.0200	10.77
704	0	0.99	0.0200	-1.95
705	2	1.01	0.0200	15.71
706	0	0.99	0.0200	-0.41
707	0	0.98	0.0200	1.60
708	1	0.99	0.0200	4.22
709	0	0.98	0.0200	-0.45
710	0	0.94	0.0200	-1.07
711	0	0.94	0.0200	7.31
712	1	0.94	0.0200	3.02
713	0	0.94	0.0200	1.32
714	2	0.96	0.0200	7.84
715	0	0.96	0.0200	2.33
716	1	0.96	0.0200	10.89
717	0	0.95	0.0200	0.69
718	0	0.95	0.0200	0.05
